epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
93,1029.97,0.8012,0.47976,1.03085,0.83817,0.84479,0.89305,0.62903,1.10956,0.70215,1.23626,0.0006964,0.0006964,0.0006964
94,1041.02,0.81183,0.48249,1.03375,0.82948,0.87687,0.89818,0.64468,1.108,0.71418,1.24537,0.0006931,0.0006931,0.0006931
95,1052.11,0.81421,0.48482,1.03554,0.86497,0.84558,0.89988,0.64579,1.12046,0.70953,1.23358,0.0006898,0.0006898,0.0006898
96,1063.19,0.81385,0.48309,1.04262,0.82251,0.87151,0.88182,0.62166,1.11956,0.7275,1.2505,0.0006865,0.0006865,0.0006865
97,1074.23,0.818,0.47975,1.02847,0.88525,0.84582,0.89763,0.62507,1.13373,0.72388,1.2474,0.0006832,0.0006832,0.0006832
98,1085.28,0.79648,0.46878,1.02028,0.84671,0.86432,0.88473,0.6341,1.11739,0.71737,1.24749,0.0006799,0.0006799,0.0006799
99,1096.33,0.78537,0.45663,1.01951,0.84725,0.86514,0.89705,0.63675,1.11712,0.69412,1.24044,0.0006766,0.0006766,0.0006766
100,1107.39,0.80378,0.4704,1.03046,0.85988,0.84338,0.8901,0.63678,1.1191,0.73174,1.25303,0.0006733,0.0006733,0.0006733
101,1118.45,0.7967,0.46086,1.02265,0.86083,0.86848,0.90031,0.64614,1.1031,0.70912,1.23103,0.00067,0.00067,0.00067
102,1129.55,0.78515,0.45942,1.01153,0.84045,0.84602,0.89433,0.64144,1.12156,0.73143,1.25125,0.0006667,0.0006667,0.0006667
103,1140.6,0.78458,0.46697,1.02774,0.84978,0.86148,0.89,0.64863,1.11282,0.73599,1.2422,0.0006634,0.0006634,0.0006634
104,1151.69,0.78015,0.45793,1.0173,0.85885,0.83412,0.891,0.63394,1.12075,0.72698,1.25966,0.0006601,0.0006601,0.0006601
105,1162.77,0.76631,0.45322,1.01669,0.82757,0.8755,0.8803,0.62599,1.12132,0.70687,1.26799,0.0006568,0.0006568,0.0006568
106,1173.82,0.77082,0.4476,1.01686,0.83437,0.86538,0.89159,0.63301,1.11405,0.73318,1.2473,0.0006535,0.0006535,0.0006535
107,1184.88,0.76611,0.44644,1.01725,0.84107,0.86073,0.88825,0.63575,1.10303,0.70484,1.23437,0.0006502,0.0006502,0.0006502
108,1195.94,0.77102,0.45422,1.00873,0.85809,0.85258,0.89107,0.62816,1.12565,0.7205,1.26725,0.0006469,0.0006469,0.0006469
109,1206.99,0.7659,0.45453,1.01095,0.86262,0.87438,0.90017,0.64981,1.11082,0.70151,1.24829,0.0006436,0.0006436,0.0006436
110,1218.08,0.7633,0.45239,1.01249,0.80636,0.86604,0.8795,0.61458,1.13057,0.74732,1.27408,0.0006403,0.0006403,0.0006403
111,1229.12,0.76633,0.44532,1.00943,0.84268,0.87347,0.88919,0.63665,1.10199,0.70137,1.25715,0.000637,0.000637,0.000637
112,1240.17,0.75859,0.44817,1.00883,0.84533,0.85777,0.9021,0.63952,1.12398,0.69635,1.24873,0.0006337,0.0006337,0.0006337
113,1251.21,0.75744,0.44693,1.01543,0.8493,0.85249,0.89987,0.65079,1.11286,0.74643,1.25421,0.0006304,0.0006304,0.0006304
114,1262.73,0.76315,0.45438,1.02103,0.82127,0.86975,0.8947,0.64313,1.10066,0.68345,1.24096,0.0006271,0.0006271,0.0006271
115,1273.78,0.74627,0.4379,1.00769,0.88658,0.83857,0.89818,0.64236,1.09615,0.6853,1.24076,0.0006238,0.0006238,0.0006238
116,1284.82,0.75466,0.43964,1.01326,0.82639,0.85619,0.88906,0.64077,1.10131,0.70325,1.24618,0.0006205,0.0006205,0.0006205
117,1295.85,0.74608,0.43953,1.01032,0.88757,0.83885,0.89144,0.64942,1.10367,0.70797,1.24995,0.0006172,0.0006172,0.0006172
118,1306.87,0.75049,0.44416,1.00465,0.84088,0.86117,0.88931,0.63894,1.097,0.69347,1.23477,0.0006139,0.0006139,0.0006139
119,1317.93,0.74224,0.43503,0.99776,0.88372,0.84659,0.89037,0.63715,1.1152,0.70194,1.26533,0.0006106,0.0006106,0.0006106
120,1328.98,0.73296,0.43342,0.99628,0.86734,0.85677,0.89339,0.65159,1.09288,0.68428,1.22674,0.0006073,0.0006073,0.0006073
121,1340.06,0.72779,0.43417,0.99399,0.85462,0.86454,0.89737,0.64689,1.09288,0.69335,1.23037,0.000604,0.000604,0.000604
122,1351.11,0.73224,0.42839,0.99135,0.85413,0.86279,0.88692,0.63685,1.105,0.70245,1.24609,0.0006007,0.0006007,0.0006007
123,1362.14,0.71891,0.41966,0.99504,0.87606,0.8403,0.89807,0.64544,1.09128,0.70405,1.25526,0.0005974,0.0005974,0.0005974
124,1373.19,0.73289,0.42829,0.9993,0.88386,0.86487,0.9015,0.65015,1.09185,0.67875,1.24206,0.0005941,0.0005941,0.0005941
125,1384.23,0.71395,0.42591,0.99423,0.85245,0.87364,0.89842,0.64157,1.10833,0.68007,1.26385,0.0005908,0.0005908,0.0005908
126,1395.28,0.71349,0.4243,0.99087,0.85715,0.86535,0.90182,0.65969,1.09833,0.70184,1.25249,0.0005875,0.0005875,0.0005875
127,1406.37,0.71696,0.42861,0.99762,0.86698,0.83937,0.88694,0.64091,1.10741,0.68938,1.25582,0.0005842,0.0005842,0.0005842
128,1417.41,0.72048,0.42849,0.9993,0.86895,0.85842,0.90235,0.65556,1.10745,0.70135,1.23559,0.0005809,0.0005809,0.0005809
129,1428.46,0.72292,0.42465,0.99301,0.86923,0.85174,0.89753,0.64821,1.11765,0.69622,1.25658,0.0005776,0.0005776,0.0005776
130,1439.48,0.70685,0.42959,0.98823,0.85812,0.88108,0.89188,0.64453,1.1122,0.68972,1.25656,0.0005743,0.0005743,0.0005743
131,1450.52,0.70403,0.41655,0.99166,0.88474,0.86369,0.90023,0.64188,1.11326,0.69953,1.24462,0.000571,0.000571,0.000571
132,1461.58,0.69734,0.41263,0.98546,0.85263,0.84654,0.88954,0.63401,1.11265,0.72138,1.25932,0.0005677,0.0005677,0.0005677
133,1472.64,0.72041,0.4224,0.99807,0.88123,0.85671,0.89153,0.64905,1.09795,0.68253,1.24131,0.0005644,0.0005644,0.0005644
134,1483.67,0.70842,0.42337,0.98915,0.88343,0.84419,0.9049,0.65144,1.11238,0.69335,1.26293,0.0005611,0.0005611,0.0005611
135,1494.71,0.68833,0.41408,0.97503,0.849,0.85604,0.88394,0.64118,1.09954,0.70224,1.24628,0.0005578,0.0005578,0.0005578
136,1505.79,0.69252,0.41401,0.97734,0.86114,0.87224,0.89084,0.65571,1.08856,0.68522,1.24269,0.0005545,0.0005545,0.0005545
137,1516.84,0.68917,0.41143,0.97595,0.89405,0.84509,0.8956,0.65129,1.11176,0.70601,1.26003,0.0005512,0.0005512,0.0005512
138,1527.88,0.68331,0.40508,0.98097,0.84525,0.84487,0.87654,0.63929,1.08817,0.69777,1.23534,0.0005479,0.0005479,0.0005479
139,1538.95,0.67581,0.40713,0.96834,0.86707,0.86024,0.87619,0.63891,1.09934,0.73569,1.25371,0.0005446,0.0005446,0.0005446
140,1550.01,0.69442,0.41554,0.97843,0.88205,0.83713,0.88118,0.64047,1.1199,0.71654,1.2832,0.0005413,0.0005413,0.0005413
141,1561.03,0.68036,0.40776,0.97842,0.8576,0.86035,0.88768,0.64815,1.09663,0.70701,1.24965,0.000538,0.000538,0.000538
142,1572.11,0.68343,0.41003,0.97458,0.86219,0.87369,0.89212,0.64684,1.08546,0.6817,1.24169,0.0005347,0.0005347,0.0005347
143,1583.16,0.66508,0.3965,0.96932,0.86686,0.86619,0.89662,0.65984,1.09809,0.70727,1.24946,0.0005314,0.0005314,0.0005314
144,1594.2,0.6771,0.40754,0.97907,0.86595,0.86881,0.89509,0.65925,1.08755,0.68836,1.23646,0.0005281,0.0005281,0.0005281
145,1605.24,0.66751,0.39948,0.96478,0.86934,0.85966,0.90209,0.66059,1.09914,0.69125,1.24289,0.0005248,0.0005248,0.0005248
146,1616.31,0.66223,0.39016,0.96611,0.86138,0.86162,0.8991,0.64488,1.12857,0.69923,1.2616,0.0005215,0.0005215,0.0005215
147,1627.37,0.66695,0.39883,0.96529,0.8521,0.87299,0.89606,0.65696,1.10676,0.6827,1.2402,0.0005182,0.0005182,0.0005182
148,1638.42,0.67729,0.40495,0.97436,0.8791,0.843,0.88882,0.65514,1.09478,0.68414,1.23288,0.0005149,0.0005149,0.0005149
149,1649.46,0.66059,0.39499,0.97347,0.87286,0.84706,0.89383,0.65844,1.10115,0.68544,1.24284,0.0005116,0.0005116,0.0005116
150,1660.52,0.65383,0.3928,0.96685,0.87103,0.8651,0.89165,0.66095,1.10143,0.69232,1.24085,0.0005083,0.0005083,0.0005083
151,1671.56,0.65209,0.38714,0.96194,0.85382,0.86679,0.90417,0.66578,1.10554,0.67834,1.26101,0.000505,0.000505,0.000505
